trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
249,False,"{'a': 0.3, 'e': 0.06337242505244779}",30,0,-8.084811169016678,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
250,False,"{'a': 0.3, 'e': 0.06324555320336758}",20,0,27.661236480838703,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
251,False,"{'a': 0.3, 'e': 0.06311944030978031}",30,14,32.64108322855063,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.3, 'e': 0.0629940788348712}",20,2,14.774123521294472,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
253,False,"{'a': 0.3, 'e': 0.06286946134619315}",20,9,18.380859574359242,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.3, 'e': 0.06274558051381586}",20,12,17.646865879627853,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.3, 'e': 0.06262242910851495}",25,16,2.122366402933455,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
256,False,"{'a': 0.3, 'e': 0.0625}",25,13,18.892446393807013,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.3, 'e': 0.06237828615518053}",30,7,34.844739825307585,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.3, 'e': 0.062257280636469035}",25,1,43.5516633332963,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.3, 'e': 0.062136976600120006}",25,15,11.098344166673924,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
260,False,"{'a': 0.3, 'e': 0.062017367294604234}",20,0,16.849058851451307,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
261,False,"{'a': 0.3, 'e': 0.061898446059017294}",35,9,41.86304816824736,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.3, 'e': 0.06178020632152154}",30,18,-0.0038057894309337925,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
263,False,"{'a': 0.3, 'e': 0.061662641597820735}",20,9,8.217076945848975,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.3, 'e': 0.06154574548966636}",20,6,19.288895922872182,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.3, 'e': 0.06142951168339512}",20,8,20.37662748338147,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.3, 'e': 0.06131393394849658}",20,0,31.450370903809983,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
267,False,"{'a': 0.3, 'e': 0.06119900613621046}",30,18,19.21375455990226,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.3, 'e': 0.06108472217815261}",20,16,10.682133570793967,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.3, 'e': 0.06097107608496923}",25,3,24.618305814185824,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
